月,授賞機関名,表彰名,表彰内容,delete
2,高分子学会,高分子学会賞(技術部門),水の運動性に着目した抗血栓性ポリマーの設計と人工腎臓の工業化,
6,日本繊維機械学会,技術賞,「和紙のような風合いと機能性を両立したテキスタイルの開発」,
6,日本複合材料学会,技術賞,新規高弾性率炭素繊維とそれを用いた高剛性射出成形材,
7,産経新聞社,先端技術大賞　産経新聞社賞,非可食性バイオマスからの糖製造向け新規酵素の技術開発,
9,日本人工臓器学会,日本人工臓器学会 技術賞,革新タンパク質吸着PMMA多孔質繊維カラム「フィルトール®」,
11,公益社団法人 発明協会,四国地方発明表彰　発明奨励賞,燃料電池用高性能ガス拡散層,
11,公益社団法人 発明協会,四国地方発明表彰　発明奨励賞,サンドイッチ構造体,
11,公益社団法人 発明協会,四国地方発明表彰　文部科学大臣賞,ナノ相分離構造エポキシ樹脂を用いたＣＦＲＰ,
12,繊研新聞社,繊研合繊賞　テクニカル部門,「ナノデザイン」技術による新世代フッ素フリー撥水（はっすい）素材「デューエイト」の開発,
12,分子シミュレーション学会,産業奨励賞,分子サイズ変化を伴う新規熱力学的積分法の提案：混合自由エネルギーおよび溶媒和自由エネルギー計算の高精度化に向けて,
12,日本化学会,技術進歩賞,半導体カーボンナノチューブを用いた塗布型半導体デバイスの開発,
